fight_id,detail_level,has_round_stats,has_sig_strikes,source,notes
eaa8f238d533,full,1,1,ufcstats,
5d192885a4eb,full,1,1,ufcstats,
ae13cae4e89d,full,1,1,ufcstats,
f57013409736,full,1,1,ufcstats,
752cd07942df,full,1,1,ufcstats,
d45de469ac3e,full,1,1,ufcstats,
a461f1dc6a3b,full,1,1,ufcstats,
bcc5fdccd8f0,full,1,1,ufcstats,
5d50dd11a431,full,1,1,ufcstats,
e4e525c02ad3,full,1,1,ufcstats,
3f4e1ac9fbf8,full,1,1,ufcstats,
64e2f4aeb3ea,full,1,1,ufcstats,
81121c6b1d4d,full,1,1,ufcstats,
8cc74e2b2509,full,1,1,ufcstats,
b1e7b20fba20,full,1,1,ufcstats,
1c122fb3cea7,full,1,1,ufcstats,
ab50b8a94309,full,1,1,ufcstats,
01e6fd519eb8,full,1,1,ufcstats,
1646398f5b74,full,1,1,ufcstats,
2e983d2e427d,full,1,1,ufcstats,
dc3e2822d3da,full,1,1,ufcstats,
a0f77b21e32c,full,1,1,ufcstats,
928373df95b0,full,1,1,ufcstats,
11594e513977,full,1,1,ufcstats,
7164c408bdf5,full,1,1,ufcstats,
e8ce370e5fa1,full,1,1,ufcstats,
7287d44bc78d,full,1,1,ufcstats,
3bfa97aee390,full,1,1,ufcstats,
1525e6f98997,full,1,1,ufcstats,
74a0e1cddc9b,full,1,1,ufcstats,
6601a3f7d17f,full,1,1,ufcstats,
f952e218eca0,full,1,1,ufcstats,
791ec486663e,full,1,1,ufcstats,
80217c4118f9,full,1,1,ufcstats,
7540cf7623af,full,1,1,ufcstats,
ca90b51a6ae7,full,1,1,ufcstats,
7897c196af61,full,1,1,ufcstats,
f91c028395a2,full,1,1,ufcstats,
77964c6ef23e,full,1,1,ufcstats,
65a03d601c74,full,1,1,ufcstats,
7acaf16621f0,full,1,1,ufcstats,
fce8bd4c040b,full,1,1,ufcstats,
bd734a6f80b1,full,1,1,ufcstats,
54c74f521c64,full,1,1,ufcstats,
2ac50080ff94,full,1,1,ufcstats,
1ede1714869b,full,1,1,ufcstats,
e667fa6698f1,full,1,1,ufcstats,
a39a3fabb304,full,1,1,ufcstats,
7a3e0130b517,full,1,1,ufcstats,
b5d0dcb95431,full,1,1,ufcstats,
1817805825a5,full,1,1,ufcstats,
57a21a7853b9,full,1,1,ufcstats,
0d4229bbef83,full,1,1,ufcstats,
706a8bcc4ede,full,1,1,ufcstats,
8c5320137254,full,1,1,ufcstats,
d05cc60e3d7f,full,1,1,ufcstats,
34f34e4ba305,full,1,1,ufcstats,
6884e09e1e80,full,1,1,ufcstats,
278877c6113c,full,1,1,ufcstats,
f28ef6adcef2,full,1,1,ufcstats,
cd26b571b549,full,1,1,ufcstats,
8e58bf4efdc7,full,1,1,ufcstats,
aeac10a26f04,full,1,1,ufcstats,
8ca168eb6e14,full,1,1,ufcstats,
22031c041b5d,full,1,1,ufcstats,
409d41c479b3,full,1,1,ufcstats,
bc6633a4b459,full,1,1,ufcstats,
21e8e1383905,full,1,1,ufcstats,
f83691d2ff04,full,1,1,ufcstats,
c5092bfe6384,full,1,1,ufcstats,
f62280c93aad,full,1,1,ufcstats,
296fe8f25710,full,1,1,ufcstats,
4b300a9e589c,full,1,1,ufcstats,
e41e5191be6e,full,1,1,ufcstats,
719eb6f05574,full,1,1,ufcstats,
00daf2e24170,full,1,1,ufcstats,
a463149e1e6a,full,1,1,ufcstats,
e40315e7fc9d,full,1,1,ufcstats,
3c440d517ce0,full,1,1,ufcstats,
f4f53e877542,full,1,1,ufcstats,
53cfdbc2c82f,full,1,1,ufcstats,
0a09b7f9cfd1,full,1,1,ufcstats,
46b247a88bea,full,1,1,ufcstats,
3e582f44dc85,full,1,1,ufcstats,
80ff53f8f8d2,full,1,1,ufcstats,
70e49fe485f3,full,1,1,ufcstats,
70c025a02598,full,1,1,ufcstats,
47085ec7d32f,full,1,1,ufcstats,
e962225f4f36,full,1,1,ufcstats,
ea2ac7a56e03,full,1,1,ufcstats,
a61f67c84f10,full,1,1,ufcstats,
5f359bb78031,full,1,1,ufcstats,
7fa415425f89,full,1,1,ufcstats,
ac106a776a68,full,1,1,ufcstats,
8ad7e40ab6de,full,1,1,ufcstats,
a7da2fe1d403,full,1,1,ufcstats,
17cda52a5528,full,1,1,ufcstats,
523dcfc281d3,full,1,1,ufcstats,
3a8cca9583b8,full,1,1,ufcstats,
76fd04007576,full,1,1,ufcstats,
acad3591c2ab,full,1,1,ufcstats,
95d079d8dd56,full,1,1,ufcstats,
64301cc49b86,full,1,1,ufcstats,
33f2f51bb7a7,full,1,1,ufcstats,
fd56dc07e506,full,1,1,ufcstats,
0a168a97a1b9,full,1,1,ufcstats,
e5171a498c8d,full,1,1,ufcstats,
5e8dd9c178ca,full,1,1,ufcstats,
fc81198bed3f,full,1,1,ufcstats,
ca7c145f0fdd,full,1,1,ufcstats,
90deeadb7bbb,full,1,1,ufcstats,
5e83ceee7472,full,1,1,ufcstats,
d2fab02a0698,full,1,1,ufcstats,
a9a844d88637,full,1,1,ufcstats,
83484ebbf268,full,1,1,ufcstats,
d2032766cecd,full,1,1,ufcstats,
62ca9ab7d569,full,1,1,ufcstats,
039d448c0611,full,1,1,ufcstats,
b79bdb4be6f7,full,1,1,ufcstats,
ffac0087b055,full,1,1,ufcstats,
6723efc1f48e,full,1,1,ufcstats,
e31252ebe22d,full,1,1,ufcstats,
ca77aee109ce,full,1,1,ufcstats,
51f9f11c3e5d,full,1,1,ufcstats,
0cb5150cd196,full,1,1,ufcstats,
e0ce1c0da8da,full,1,1,ufcstats,
987ac5619e6e,full,1,1,ufcstats,
3969523a1f25,full,1,1,ufcstats,
0b80a252ccf1,full,1,1,ufcstats,
17147a18d2d9,full,1,1,ufcstats,
b8476cc8463f,full,1,1,ufcstats,
447dde76d715,full,1,1,ufcstats,
810bb02c47e6,full,1,1,ufcstats,
221e6ca3cbdc,full,1,1,ufcstats,
4420f656679b,full,1,1,ufcstats,
8bff999df95c,full,1,1,ufcstats,
c44836dff291,full,1,1,ufcstats,
f0eaa5c141a8,full,1,1,ufcstats,
e7eb3dfbfc5d,full,1,1,ufcstats,
ea0d0440bb0d,full,1,1,ufcstats,
decbf06c6490,full,1,1,ufcstats,
be03f6f551f0,full,1,1,ufcstats,
0573366c62c5,full,1,1,ufcstats,
4949224d2516,full,1,1,ufcstats,
1ae13f95e296,full,1,1,ufcstats,
5b0ca3a1ff14,full,1,1,ufcstats,
01e887aecedb,full,1,1,ufcstats,
c33cda26a302,full,1,1,ufcstats,
a90fe4dc5608,full,1,1,ufcstats,
cf930f6f9f4e,full,1,1,ufcstats,
e1de8d79e6b5,full,1,1,ufcstats,
28fc186e4dc9,full,1,1,ufcstats,
